Direccion,Barrio,Latitud,Longitud,Tipo_vivienda,Dproymes,Localidad,Cod_proyecto,Proyecto
Cr. 21 # 135-30,Nueva Autopista,4.72028189495944,-74.0489802509907,No VIS,46,Usaquén,32034,Nuvo Park 135
Cl. 135 # 19-86,Nueva Autopista,4.72009046353009,-74.0477246728163,No VIS,13,Usaquén,32035,Berlín Studio Loft
Cl. 114A # 19A-57,San Patricio,4.69774854166553,-74.0520139023906,No VIS,12,Usaquén,32036,Hauss 114
Cl. 105A # 14-52,Santa Paula,4.68937329435743,-74.0453694149825,No VIS,30,Usaquén,32037,Q. 105
Cl. 110A # 6-07,Santa Ana,4.68861956251681,-74.0338041898586,No VIS,63,Usaquén,32038,Santa Ana +
Av. Cr. 72 # 129-01,Sotileza,4.72275558728683,-74.0758686681688,No VIS,2,Suba,40502,BranteVilla Bosque Res.
Cr. 15 # 173-25,La Alameda,4.75350301930266,-74.0374447744913,No VIS,42,Usaquén,40657,Alameda Plaza
Cl. 131 # 78A-61,Colinas de Suba,4.72392866875598,-74.0772915658462,No VIS,8,Suba,40709,Bosque Verde
Cr. 76 # 160-15,Colinas de Suba,4.74495265069516,-74.0724073353011,No VIS,1,Suba,40754,Ventto
Cr. 79C # 129-20,Colinas de Suba,4.7223198856271,-74.0786970039774,No VIS,1,Suba,40801,Montereserva
Cr. 11A # 191-52,Maranta,4.76928534259819,-74.0319984480707,No VIS,2,Usaquén,40871,Kepler
Cr. 80 # 151-31,Torreladera,4.74290000088513,-74.0763999996707,No VIS,8,Suba,40929,Torreladera Bosque Res. Aptos.
Av. Cl. 127 # 87-51,Altos de los Lagartos,4.71350000053644,-74.0889999996871,No VIS,1,Suba,40941,Gallery Lagartos
Av. Cr. 9A # 146-45,Cedritos,4.7249153803454,-74.0327911877331,No VIS,4,Usaquén,40966,Milano Park
Cr. 87 # 131C-11,Provenza,4.72897601422636,-74.0839680019048,No VIS,2,Suba,40999,Camino del Bosque Casas
Cl. 128B # 80-17,Sotileza,4.71867864043757,-74.0816923299734,No VIS,3,Suba,41004,Cerros de Sotileza
Cr. 19A # 173-70,La Uribe,4.75488185110124,-74.0407223026166,No VIS,5,Usaquén,41011,Támesis 175
San Simón vía. Guayamaral,Guaymaral,4.81300787875415,-74.0500946059279,No VIS,4,Suba,41019,El Mimbre *
Cr. 54D # 134-51,Colina Campestre,4.72333070402623,-74.0607657950862,No VIS,14,Suba,41027,Hacienda Reservada
Cr. 56 # 167C-70,Britalia Norte,4.75194490425782,-74.0574578778461,No VIS,15,Suba,41072,La Bella Fontana
Cl. 152B # 74-77,Colina Campestre,4.74072163999239,-74.0714703771635,No VIS,21,Suba,41081,Nogales
Cr. 58C # 147-81,Colina Campestre,4.73688160430215,-74.0649448721866,No VIS,5,Suba,41094,Rossetti
